Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",-35.250000,26.925000,180.000000,bottom
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.000000,34.249999,-90.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",68.050000,35.325000,0.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.250000,30.775000,90.000000,top
"C4","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",12.950000,22.025000,180.000000,top
"C5","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",80.075000,12.600000,-90.000000,top
"C6","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.750000,12.599999,-90.000000,top
"C7","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.850000,12.599999,-90.000000,top
"C8","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.600000,12.599999,-90.000000,top
"C9","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.650000,12.599999,-90.000000,top
"C10","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",33.450000,12.575000,-90.000000,top
"C11","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.400000,12.599999,-90.000000,top
"C12","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",29.300000,12.575000,-90.000000,top
"C13","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.250000,12.599999,-90.000000,top
"C14","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.150000,12.575000,-90.000000,top
"C15","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.150000,12.599999,-90.000000,top
"C16","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.950000,12.575000,-90.000000,top
"C17","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",55.050000,12.575000,-90.000000,top
"C18","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",16.800000,12.575000,-90.000000,top
"C19","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.950000,12.599999,-90.000000,top
"C20","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",12.700000,12.575000,-90.000000,top
"D1","LED_Small_ALT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.550000,17.875000,180.000000,top
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",51.820000,31.825000,90.000000,top
"J2","Conn_01x03","JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal",78.400000,28.675000,180.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",63.950000,25.225000,-90.000000,top
"J4","Conn_02x17_Odd_Even","IDC-Header_2x17_P2.54mm_Vertical",65.650000,6.600000,-90.000000,top
"J5","Conn_01x02","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",14.250000,28.675000,180.000000,top
"R1","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.125000,24.925000,0.000000,top
"R2","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.150000,22.825000,0.000000,top
"R3","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.650000,28.625000,180.000000,top
"R4","120r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.975000,25.175000,0.000000,top
"R5","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.625000,20.225000,0.000000,top
"R6","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.000000,12.600000,90.000000,top
"R7","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.650000,12.575000,90.000000,top
"R8","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.750000,12.600000,90.000000,top
"R9","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",35.550000,12.600001,90.000000,top
"R10","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.550000,12.575000,90.000000,top
"R11","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",31.400000,12.575000,90.000000,top
"R12","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.300000,12.600001,90.000000,top
"R13","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",27.250000,12.575000,90.000000,top
"R14","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",61.200000,12.600001,90.000000,top
"R15","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",23.050000,12.575000,90.000000,top
"R16","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.100000,12.600001,90.000000,top
"R17","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.850000,12.575000,90.000000,top
"R18","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.000000,12.575000,90.000000,top
"R19","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",14.750000,12.575000,90.000000,top
"R20","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",48.900000,12.600001,90.000000,top
"R21","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.650000,12.575000,90.000000,top
"U1","ATtiny804-SS","SOIC-14_3.9x8.7mm_P1.27mm",42.800000,31.525000,0.000000,top
"U2","MAX485E","SOIC-8_3.9x4.9mm_P1.27mm",64.600000,31.475000,0.000000,top
"U3","PCF8575","SOIC-24W_7.5x15.4mm_P1.27mm",27.000000,25.075000,90.000000,top
